año,NCODI,partoVaginal,cesareas,rNacVivos,vivos_menor2500,exitusMaternal
2016,31,0,0,0,0,0
2016,740,3975,550,4630,500,0
2016,217,0,0,0,0,0
2016,863,15,6,21,0,0
2016,889,0,0,0,0,0
2016,984,0,0,0,0,0
2016,1106,0,0,0,0,0
2016,34,0,0,0,0,0
2016,791,101,80,101,4,0
2016,181,0,0,0,0,0
2016,430,0,0,0,0,0
2016,715,134,46,181,6,0
2016,521,0,0,0,0,0
2016,524,71,59,131,0,0
2016,432,0,0,0,0,0
2016,19,103,68,137,0,0
2016,25,0,0,0,0,0
2016,26,0,0,0,0,0
2016,890,1141,320,1498,119,0
2016,904,409,114,526,16,0
2016,957,2930,802,3809,315,0
2016,939,1539,424,2004,172,0
2016,236,171,151,322,0,0
2016,735,2284,603,2934,316,0
2016,146,0,0,0,0,0
2016,363,0,0,0,0,0
2016,187,0,0,0,0,0
2016,265,0,0,0,0,0
2016,295,0,0,0,0,0
2016,496,669,108,782,24,0
2016,77,0,0,0,0,0
2016,391,0,0,0,0,0
2016,240,101,31,132,1,0
2016,448,75,17,92,1,0
2016,151,0,0,0,0,0
2016,425,33,22,55,0,0
2016,300,0,0,0,0,0
2016,339,246,85,333,4,0
2016,874,316,131,454,23,0
2016,905,2041,576,2669,246,0
2016,736,2482,719,3264,195,1
2016,459,0,0,0,0,0
2016,320,0,0,0,0,0
2016,45,0,0,0,0,0
2016,618,364,89,452,20,0
2016,463,0,0,0,0,0
2016,891,244,233,475,16,0
2016,958,681,247,943,79,0
2016,244,0,0,0,0,0
2016,28,0,0,0,0,0
2016,444,0,0,0,0,0
2016,479,0,0,0,0,0
2016,285,55,32,87,4,0
2016,253,1065,482,1641,159,0
2016,481,147,120,266,16,0
2016,540,336,133,442,27,0
2016,332,0,0,0,0,0
2016,41,0,0,0,0,0
2016,510,0,0,0,0,0
2016,305,0,0,0,0,0
2016,708,779,250,1029,46,0
2016,755,4600,1416,6128,562,0
2016,750,2271,678,3004,264,
2016,696,2161,611,2818,228,0
2016,421,0,0,0,0,0
2016,827,0,0,0,0,0
2016,933,0,0,0,0,0
2016,1030,538,391,929,70,1
2016,1003,0,0,0,0,0
2016,1050,0,0,0,0,0
2016,1043,1795,740,2585,57,0
2016,1128,245,84,331,9,0
2016,934,482,94,583,45,0
2016,629,1088,284,1423,194,0
2016,21,0,0,0,0,0
2016,615,690,189,872,30,0
2016,626,147,159,310,8,0
2016,417,0,0,0,0,0
2016,597,93,50,143,2,0
2016,539,1233,274,1507,115,0
2016,343,57,113,170,4,0
2016,135,0,0,0,0,0
2016,158,0,0,0,0,0
2016,775,800,227,1043,60,0
2016,177,0,0,0,0,0
2016,578,64,39,103,2,0
2016,416,0,0,0,0,0
2016,561,301,99,403,19,0
2016,62,0,0,0,0,0
2016,828,0,0,0,0,0
2016,860,19,19,38,0,0
2016,935,0,0,0,0,0
2016,936,0,0,0,0,0
2016,986,0,0,0,0,0
2016,987,487,122,605,19,0
2016,1021,0,0,0,0,0
2016,1085,0,0,0,0,0
2016,658,441,111,553,13,0
2016,353,0,0,0,0,0
2016,323,0,0,0,0,0
2016,620,368,85,462,32,0
2016,384,0,0,0,0,0
2016,554,825,241,1079,73,0
2016,209,0,0,0,0,0
2016,707,2659,641,3374,264,0
2016,395,0,0,0,0,0
2016,969,0,0,0,0,0
2016,1052,0,0,0,0,0
2016,739,3742,1335,5107,622,0
2016,613,814,294,1117,82,1
2016,593,0,0,0,0,0
2016,704,1047,299,1404,128,0
2016,493,0,0,0,0,0
2016,686,1039,368,1414,88,0
2016,257,1056,968,2073,137,0
2016,494,0,0,0,0,0
2016,681,0,0,0,0,0
2016,286,98,44,142,8,0
2016,255,261,105,371,26,0
2016,79,0,0,0,0,0
2016,81,0,0,0,0,0
2016,688,784,311,1110,73,0
2016,531,648,187,843,56,0
2016,514,100,73,174,10,0
2016,499,0,0,0,0,0
2016,532,488,154,650,36,0
2016,190,0,0,0,0,0
2016,598,236,60,304,21,0
2016,260,1914,1790,3696,306,0
2016,838,0,0,0,0,0
2016,839,0,0,0,0,0
2016,851,0,0,0,0,0
2016,852,1298,340,1657,96,0
2016,988,0,0,0,0,0
2016,1056,1292,259,1569,77,0
2016,1044,0,0,0,0,0
2016,1114,0,0,0,0,0
2016,644,1544,475,2069,167,0
2016,752,928,306,1255,114,0
2016,238,0,0,0,0,0
2016,325,0,0,0,0,0
2016,622,163,130,295,20,0
2016,879,0,0,0,0,0
2016,906,285,282,567,25,0
2016,370,0,0,0,0,0
2016,418,0,0,0,0,0
2016,574,0,0,0,0,0
2016,399,0,0,0,0,0
2016,195,0,0,0,0,0
2016,783,2112,288,2447,192,0
2016,263,0,0,0,0,0
2016,194,0,0,0,0,0
2016,214,0,0,0,0,0
2016,785,4459,667,5277,496,1
2016,780,0,0,0,0,0
2016,782,0,0,0,0,0
2016,369,0,0,0,0,0
2016,713,0,0,0,0,0
2016,941,0,0,0,0,0
2016,1091,0,0,0,0,0
2016,1045,289,94,388,19,0
2016,1086,1047,323,1272,0,0
2016,937,652,209,861,0,0
2016,1004,0,4,4,0,0
2016,737,1632,458,2137,169,1
2016,765,3326,583,4041,423,0
2016,329,0,0,0,0,0
2016,87,0,0,0,0,0
2016,527,0,0,0,0,0
2016,562,0,0,0,0,0
2016,251,62,49,111,4,0
2016,129,0,0,0,0,0
2016,154,0,0,0,0,0
2016,516,474,383,836,0,0
2016,184,0,0,0,0,0
2016,652,0,0,0,0,0
2016,637,208,44,256,11,0
2016,88,0,0,0,0,0
2016,907,0,0,0,0,0
2016,970,0,0,0,0,0
2016,1019,0,0,0,0,0
2016,1016,614,331,954,45,0
2016,1047,1185,294,1489,45,0
2016,635,2119,882,3026,144,1
