año,NCODI,anatomia_centro,diagnostico_centro,dialisis_centro,esterilizacion_centro,laboratorio_centro,rehabilitacion_centro,otras_Asistenciales_centro,anatomia_fuera,diagnostico_fuera,dialisis_fuera,esterilizacion_fuera,laboratorio_fuera,rehabilitacion_fuera,otras_Asistenciales_fuera,otros_Asis_texto,cocina_centro,lavanderia_centro,limpieza_centro,mantenimiento_centro,seguridad_centro,otros_NoAsistenciales_centro,cocina_fuera,lavanderia_fuera,otros_NoAsistenciales_fuera,otros_NoAsis_texto,oxigenoterapia_centro,oxigenoterapia_fuera,transporte_centro
2020,570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,1,0,1,0,0,1,0,"0",0,0,1
2020,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,"0",0,0,0
2020,310,0,0,0,0,0,0,1,0,1,0,0,1,0,0,"1",1,0,1,0,1,0,0,0,0,"0",0,0,0
2020,571,0,0,0,0,0,0,0,1,0,0,0,1,0,0,"0",1,0,1,1,1,0,0,1,0,"0",0,0,0
2020,296,0,1,0,1,0,1,0,1,0,0,0,1,0,0,"0",1,1,1,1,0,0,0,0,0,"0",1,0,0
2020,566,0,1,1,1,1,1,0,1,0,0,0,0,0,0,"0",1,0,1,1,1,0,0,1,0,"0",1,0,0
2020,784,1,1,1,1,1,1,0,0,0,0,1,0,0,0,"0",1,1,1,1,0,0,0,1,0,"0",1,0,0
2020,102,0,0,0,0,0,1,0,0,1,0,0,1,0,0,"0",1,0,1,1,1,0,0,1,0,"0",0,0,0
2020,639,1,1,0,1,0,1,0,0,1,0,0,1,0,0,"0",1,1,1,1,1,0,0,1,0,"0",0,0,0
2020,457,0,0,0,0,1,0,0,1,0,0,0,0,0,0,"0",1,0,1,0,0,0,0,1,0,"0",0,0,0
2020,609,1,1,0,1,1,1,0,0,0,0,0,0,0,0,"0",1,0,1,1,1,0,0,1,0,"0",1,0,0
2020,101,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"0",1,1,1,1,0,0,0,1,0,"0",0,0,0
2020,454,1,0,0,0,1,0,1,0,0,0,0,0,0,0,"1",1,1,1,1,1,1,0,0,1,"1",0,0,0
2020,318,0,0,0,0,0,0,0,1,0,0,0,1,0,0,"0",1,0,1,1,1,0,0,1,0,"0",0,0,0
2020,600,0,1,0,1,1,1,0,1,0,0,0,0,0,0,"0",1,0,1,1,1,0,0,1,0,"0",0,0,0
2020,545,0,0,0,0,1,0,0,0,0,0,0,1,0,0,"0",1,0,0,0,1,0,0,1,0,"0",0,0,0
2020,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"0",0,0,0,0,0,0,1,1,0,"0",0,0,0
