"año";"NCODI";"inver_iIntangible";"inver_IMaterial";"inver_IMterrenos";"inver_IMresto";"inver_Otras";"inver_Total"
2010;578,00;356319;172188;0;172188;0;528507
2010;416,00;0;2709724;130000;2579724;0;2709724
2010;561,00;0;114260;0;114260;0;114260
2010;828,00;0;91483;0;91483;0;91483
2010;860,00;369886;277430;0;277430;2012785;2660101
2010;935,00;11203;0;0;0;0;11203
2010;936,00;0;15625;0;15625;0;15625
2010;986,00;0;69977;0;69977;146151;216128
2010;987,00;20447;226257;0;226257;0;246704
2010;1021,00;0;15451;0;15451;0;15451
2010;658,00;0;232376;0;232376;0;232376
2010;353,00;0;0;0;0;19000;19000
2010;323,00;0;6998;0;6998;0;6998
2010;620,00;15534;313197;0;313197;0;328731
2010;384,00;0;3397877;0;3397877;0;3397877
2010;484,00;0;462000;0;462000;0;462000
2010;554,00;0;153144;0;153144;0;153144
2010;209,00;19390;241169;0;241169;0;260559
2010;707,00;0;3403627;0;3403627;0;3403627
2010;395,00;249232;331076;0;331076;111045;691353
2010;969,00;8502;353164;0;353164;0;361666
2010;1052,00;0;0;0;0;211586;211586
2010;739,00;0;0;0;0;140149;140149
2010;613,00;0;1428113;0;1428113;0;1428113
2010;593,00;0;1326009;0;1326009;0;1326009
2010;704,00;0;1370732;0;1370732;220775;1591507
2010;493,00;0;0;0;0;0;0
2010;686,00;327301;5659247;0;5659247;0;5986548
2010;257,00;59220;1976340;0;1976340;0;2035560
2010;494,00;19318;276023;;276023;;295341
2010;681,00;80075;2075715;0;2075715;0;2155790
2010;286,00;107607;2359167;0;2359167;0;2466774
2010;255,00;237409;1022061;0;1022061;0;1259470
2010;79,00;24311;0;0;0;0;24311
2010;81,00;0;11940;0;11940;0;11940
2010;688,00;0;116379;66441;49938;0;116379
2010;531,00;0;608721;0;608721;0;608721
2010;514,00;0;18000;0;18000;0;18000
2010;499,00;439107;1331513;;1331513;;1770620
2010;532,00;0;16850;0;16850;0;16850
2010;190,00;0;0;0;0;0;0
2010;598,00;;28000;;28000;;28000
2010;260,00;59919;2600782;0;2600782;0;2660701
2010;838,00;0;28610;0;28610;0;28610
2010;839,00;7509;1028748;493674;535074;7282;1043539
2010;851,00;0;11796;0;11796;0;11796
2010;852,00;390841;1639717;0;1639717;80;2030638
2010;988,00;0;0;0;0;0;0
2010;1056,00;249189;3197000;83318;3113682;0;3446189
2010;644,00;0;1155968;0;1155968;0;1155968
2010;752,00;706544;1478110;0;1478110;0;2184654
2010;238,00;126250;369026;156000;213026;40346;535622
2010;325,00;1059;4423645;0;4423645;0;4424704
2010;622,00;1300;210677;0;210677;0;211977
2010;879,00;0;0;0;0;0;0
2010;906,00;0;0;0;0;0;0
2010;370,00;0;179679;0;179679;0;179679
2010;418,00;23732;222557;0;222557;0;246289
2010;574,00;62217;531299;0;531299;0;593516
2010;399,00;79308;463665;0;463665;0;542973
2010;195,00;18642;179086;0;179086;0;197728
2010;783,00;61486;3189929;0;3189929;6607667;9859082
2010;188,00;1122820;1053439;377422;676017;0;2176259
2010;263,00;149656;1269310;0;1269310;0;1418966
2010;194,00;12106;577814;0;577814;0;589920
2010;214,00;0;77000;0;77000;0;77000
2010;785,00;0;2220157;0;2220157;19863090;22083247
2010;780,00;127766;739740;0;739740;0;867506
2010;83,00;0;83344;0;83344;23295;106639
2010;782,00;203756;9481561;0;9481561;0;9685317
2010;369,00;0;550623;0;550623;0;550623
