año,NCODI,anatomia_centro,diagnostico_centro,dialisis_centro,esterilizacion_centro,laboratorio_centro,rehabilitacion_centro,otras_Asistenciales_centro,anatomia_fuera,diagnostico_fuera,dialisis_fuera,esterilizacion_fuera,laboratorio_fuera,rehabilitacion_fuera,otras_Asistenciales_fuera,cocina_centro,lavanderia_centro,limpieza_centro,mantenimiento_centro,seguridad_centro,otros_NoAsistenciales_centro,cocina_fuera,lavanderia_fuera,otros_NoAsistenciales_fuera,oxigenoterapia_centro,oxigenoterapia_fuera,transporte_centro
2018,282,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0
2018,281,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2018,183,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0
2018,610,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,116,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0
2018,115,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0
2018,114,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0
2018,119,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
2018,770,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0,1,0
2018,583,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0
2018,136,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0
2018,469,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0
2018,642,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0
2018,674,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0
2018,193,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
2018,526,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0
2018,698,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0
2018,630,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1
2018,124,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
2018,364,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,1,0
2018,439,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,1
2018,570,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,0,1
2018,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2018,310,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
2018,571,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0
2018,296,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0
2018,566,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,1
2018,784,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0
2018,102,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0
2018,379,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
2018,639,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0
2018,457,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
